tanggal;stasiun;pm10;so2;co;o3;no2;max;critical;categori
01/12/2021;DKI1 (Bunderan HI);49;33;13;15;12;65;PM25;SEDANG
02/12/2021;DKI1 (Bunderan HI);28;31;7;15;5;34;PM25;BAIK
03/12/2021;DKI1 (Bunderan HI);49;9;19;7;49;;PM25;BAIK
04/12/2021;DKI1 (Bunderan HI);39;35;13;15;9;52;PM25;SEDANG
05/12/2021;DKI1 (Bunderan HI);41;39;15;15;9;57;PM25;SEDANG
06/12/2021;DKI1 (Bunderan HI);60;55;23;18;11;81;PM25;SEDANG
07/12/2021;DKI1 (Bunderan HI);30;34;12;16;9;34;SO2;BAIK
08/12/2021;DKI1 (Bunderan HI);45;33;17;18;10;60;PM25;SEDANG
09/12/2021;DKI1 (Bunderan HI);33;36;10;21;11;50;PM25;BAIK
10/12/2021;DKI1 (Bunderan HI);46;43;14;19;12;59;PM25;SEDANG
11/12/2021;DKI1 (Bunderan HI);28;33;8;24;9;43;PM25;BAIK
12/12/2021;DKI1 (Bunderan HI);44;32;17;15;7;57;PM25;SEDANG
13/12/2021;DKI1 (Bunderan HI);31;34;10;13;6;46;PM25;BAIK
14/12/2021;DKI1 (Bunderan HI);46;46;15;16;10;61;PM25;SEDANG
15/12/2021;DKI1 (Bunderan HI);58;43;19;20;14;75;PM25;SEDANG
16/12/2021;DKI1 (Bunderan HI);56;39;20;24;16;74;PM25;SEDANG
17/12/2021;DKI1 (Bunderan HI);53;42;18;24;15;71;PM25;SEDANG
18/12/2021;DKI1 (Bunderan HI);51;39;18;22;10;63;PM25;SEDANG
19/12/2021;DKI1 (Bunderan HI);58;38;24;33;15;81;PM25;SEDANG
20/12/2021;DKI1 (Bunderan HI);52;39;13;23;11;63;PM25;SEDANG
21/12/2021;DKI1 (Bunderan HI);52;41;19;22;17;74;PM25;SEDANG
22/12/2021;DKI1 (Bunderan HI);63;56;28;25;19;85;PM25;SEDANG
23/12/2021;DKI1 (Bunderan HI);56;57;18;20;18;77;PM25;SEDANG
24/12/2021;DKI1 (Bunderan HI);34;53;15;17;11;53;SO2;SEDANG
25/12/2021;DKI1 (Bunderan HI);53;56;17;17;9;68;PM25;SEDANG
26/12/2021;DKI1 (Bunderan HI);35;51;11;22;10;53;PM25;SEDANG
27/12/2021;DKI1 (Bunderan HI);52;61;15;20;15;71;PM25;SEDANG
28/12/2021;DKI1 (Bunderan HI);51;53;15;18;13;65;PM25;SEDANG
29/12/2021;DKI1 (Bunderan HI);31;54;10;24;11;54;SO2;SEDANG
30/12/2021;DKI1 (Bunderan HI);55;53;16;23;14;71;PM25;SEDANG
31/12/2021;DKI1 (Bunderan HI);62;52;23;20;14;85;PM25;SEDANG
01/12/2021;DKI2 (Kelapa Gading);53;8;12;41;30;53;PM10;SEDANG
02/12/2021;DKI2 (Kelapa Gading);32;40;7;40;14;50;PM25;BAIK
03/12/2021;DKI2 (Kelapa Gading);34;41;9;48;17;55;PM25;SEDANG
04/12/2021;DKI2 (Kelapa Gading);40;43;8;43;16;63;PM25;SEDANG
05/12/2021;DKI2 (Kelapa Gading);46;44;14;39;24;65;PM25;SEDANG
06/12/2021;DKI2 (Kelapa Gading);61;51;18;45;31;88;PM25;SEDANG
07/12/2021;DKI2 (Kelapa Gading);33;42;11;43;19;58;PM25;SEDANG
08/12/2021;DKI2 (Kelapa Gading);49;31;15;51;30;71;PM25;SEDANG
09/12/2021;DKI2 (Kelapa Gading);31;32;8;50;20;52;PM25;SEDANG
10/12/2021;DKI2 (Kelapa Gading);33;34;9;41;24;54;PM25;SEDANG
11/12/2021;DKI2 (Kelapa Gading);33;33;8;51;22;51;O3;SEDANG
12/12/2021;DKI2 (Kelapa Gading);49;40;13;42;22;62;PM25;SEDANG
13/12/2021;DKI2 (Kelapa Gading);31;34;9;34;23;53;PM25;SEDANG
14/12/2021;DKI2 (Kelapa Gading);51;43;9;35;26;65;PM25;SEDANG
15/12/2021;DKI2 (Kelapa Gading);62;44;11;50;30;86;PM25;SEDANG
16/12/2021;DKI2 (Kelapa Gading);---;---;---;---;---;0;;TIDAK ADA DATA
17/12/2021;DKI2 (Kelapa Gading);58;35;15;57;32;75;PM25;SEDANG
18/12/2021;DKI2 (Kelapa Gading);44;35;13;54;24;64;PM25;SEDANG
19/12/2021;DKI2 (Kelapa Gading);65;40;21;78;33;96;PM25;SEDANG
20/12/2021;DKI2 (Kelapa Gading);53;32;11;58;20;67;PM25;SEDANG
21/12/2021;DKI2 (Kelapa Gading);55;40;15;---;33;74;PM25;SEDANG
22/12/2021;DKI2 (Kelapa Gading);65;36;21;54;49;94;PM25;SEDANG
23/12/2021;DKI2 (Kelapa Gading);70;46;19;42;42;99;PM25;SEDANG
24/12/2021;DKI2 (Kelapa Gading);36;35;15;36;27;56;PM25;SEDANG
25/12/2021;DKI2 (Kelapa Gading);53;38;19;35;30;70;PM25;SEDANG
26/12/2021;DKI2 (Kelapa Gading);41;38;15;37;24;55;PM25;SEDANG
27/12/2021;DKI2 (Kelapa Gading);50;35;14;40;24;66;PM25;SEDANG
28/12/2021;DKI2 (Kelapa Gading);53;38;16;34;33;68;PM25;SEDANG
29/12/2021;DKI2 (Kelapa Gading);28;32;12;37;29;37;O3;BAIK
30/12/2021;DKI2 (Kelapa Gading);47;38;13;38;35;64;PM25;SEDANG
31/12/2021;DKI2 (Kelapa Gading);61;33;23;37;44;85;PM25;SEDANG
01/12/2021;DKI3 (Jagakarsa);53;43;12;32;15;70;PM25;SEDANG
02/12/2021;DKI3 (Jagakarsa);35;42;7;29;9;55;PM25;SEDANG
03/12/2021;DKI3 (Jagakarsa);54;43;9;32;11;67;PM25;SEDANG
04/12/2021;DKI3 (Jagakarsa);50;45;10;26;13;65;PM25;SEDANG
05/12/2021;DKI3 (Jagakarsa);51;43;15;27;12;66;PM25;SEDANG
06/12/2021;DKI3 (Jagakarsa);62;47;17;42;18;91;PM25;SEDANG
07/12/2021;DKI3 (Jagakarsa);20;44;7;32;10;44;SO2;BAIK
08/12/2021;DKI3 (Jagakarsa);39;45;17;45;13;62;PM25;SEDANG
09/12/2021;DKI3 (Jagakarsa);46;46;11;51;16;60;PM25;SEDANG
10/12/2021;DKI3 (Jagakarsa);51;47;12;---;15;65;PM25;SEDANG
11/12/2021;DKI3 (Jagakarsa);38;45;8;47;12;55;PM25;SEDANG
12/12/2021;DKI3 (Jagakarsa);48;43;13;---;13;63;PM25;SEDANG
